province,province_name_english,region,project_count,inheritor_count,IPR,IPR_category,GDP_per_capita,fiscal_expenditure_per_capita,cultural_expenditure_per_capita,population,urbanization_rate,A_level_scenic_area_count,five_A_scenic_area_count,historical_cultural_city_town_village_count,library_count,museum_count,cultural_sector_employment,cultural_capacity_proxy
江苏省,Jiangsu,East,1166,820,0.7032590051457976,Low,151200.60968460547,16470.24750850041,,85290000.0,,644,26,56,,367.0,,-0.31869016314951437
山东省,Shandong,East,985,831,0.8436548223350254,Low,90948.33547367381,11407.536599822188,,101230000.0,,1254,16,25,,807.0,,1.5071142181158323
浙江省,Zhejiang,East,1252,1435,1.1461661341853036,Medium,124589.49592514338,17479.02052520374,,66260000.0,,940,22,81,,485.0,,1.1825106856442897
广东省,Guangdong,East,844,494,0.5853080568720379,Low,106770.2840953805,13357.010073188007,,127070000.0,,675,15,48,,405.0,,-0.8739223896489844
河南省,Henan,Central,873,1146,1.3127147766323024,Medium,60548.02955665025,9306.650348932677,,97440000.0,,815,17,27,,428.0,,-0.2741618335273929
四川省,Sichuan,West,1083,1046,0.9658356417359188,Low,74581.65256994145,11874.719713728042,,76850000.0,,979,18,45,,397.0,,0.11073776627326948
云南省,Yunnan,West,909,924,1.0165016501650166,Medium,68002.694509936,10837.603570225665,,29690000.0,,671,10,28,,109.0,,-0.6330431309268262
安徽省,Anhui,Central,778,792,1.0179948586118253,Medium,76840.38555791538,12329.779774546643,,61210000.0,,698,14,40,,235.0,,-0.5494546612781301
河北省,Hebei,East,974,1052,1.080082135523614,Medium,59640.20018936832,11522.857432706614,,73930000.0,,542,13,46,,235.0,,-0.8781707337276181
江西省,Jiangxi,Central,538,602,1.1189591078066914,Medium,71302.03720106289,14422.81665190434,,45160000.0,,421,12,54,,198.0,,-0.27816063735537844
山西省,Shanxi,Central,895,1427,1.594413407821229,High,74040.95760023074,15252.119123161234,,34670000.0,,451,12,117,,215.0,,0.6259963771053044
陕西省,Shaanxi,West,685,593,0.8656934306569343,Low,85215.17697988286,15578.54290807232,,39270000.0,,540,12,16,,352.0,,2.000587047164439
福建省,Fujian,East,695,912,1.3122302158273382,Medium,129971.3124551757,12520.77623715037,,41830000.0,,537,13,80,,144.0,,-0.7468838182914682
湖北省,Hubei,Central,519,788,1.5183044315992291,High,99678.16534977838,13585.613027558296,,51890000.0,,622,19,33,,208.0,,-0.4652365090203241
新疆维吾尔自治区,Xinjiang,West,453,574,1.2671081677704197,Medium,118845.50084889644,15803.388794567063,,5890000.0,,0,0,12,,18.0,,-0.9392080778746036
甘肃省,Gansu,West,493,746,1.513184584178499,High,51000.45682960256,14468.459570580173,,21890000.0,,538,8,17,,183.0,,1.700214007170754
广西壮族自治区,Guangxi,West,624,936,1.5,High,54120.57302029447,9809.49442896936,,50260000.0,,663,9,41,,182.0,,-0.6579744732696612
湖南省,Hunan,Central,709,699,0.9858956276445698,Low,77769.1699604743,12392.074466403163,,63250000.0,,693,12,38,,141.0,,-1.3506400557404574
吉林省,Jilin,Northeast,442,215,0.4864253393665158,Low,58954.1547277937,13565.6370582617,,20940000.0,,303,8,6,,115.0,,0.2729531177908423
西藏自治区,Xizang,West,461,657,1.4251626898047722,Medium,65212.464589235125,53813.66288951841,,3530000.0,,148,5,12,,16.0,,-0.20442790874865355
贵州省,Guizhou,West,1020,712,0.6980392156862745,Low,57131.291798662445,12051.314677930306,,28410000.0,,374,10,26,,80.0,,-1.0586983238884136
海南省,Hainan,East,87,150,1.7241379310344829,High,84444.44444444444,14944.48343079922,,5130000.0,,0,0,9,,20.0,,-0.5198984921586466
黑龙江省,Heilongjiang,Northeast,617,613,0.993517017828201,Low,51849.65380811078,14783.222881635345,,30330000.0,,438,6,4,,210.0,,0.985541587830018
辽宁省,Liaoning,Northeast,294,220,0.7482993197278912,Low,71896.2219033955,11751.327594452416,,41820000.0,,584,7,6,,125.0,,-0.9725627596352057
北京市,Beijing,East,299,280,0.9364548494983278,Low,200187.5571820677,36466.75800548948,,21860000.0,,216,10,7,,226.0,,2.684798594793207
内蒙古自治区,Inner Mongolia,West,830,888,1.069879518072289,Medium,105134.49740443606,23151.69372345446,,21190000.0,,457,7,8,,147.0,,0.992208255952956
宁夏回族自治区,Ningxia,West,303,378,1.2475247524752475,Medium,72908.09327846365,18269.25377229081,,7290000.0,,139,5,2,,31.0,,-0.34385336758635837
青海省,Qinghai,West,565,570,1.008849557522124,Medium,62329.84293193717,17689.43717277487,,3820000.0,,188,4,7,,15.0,,-0.5059318819444224
上海市,Shanghai,East,393,792,2.015267175572519,High,189863.28910333736,38755.58182549256,,24870000.0,,144,5,14,,165.0,,0.8415572981656066
天津市,Tianjin,East,383,282,0.7362924281984334,Low,122705.27859237537,24050.00659824047,,13640000.0,,109,2,3,,53.0,,-0.5263701970942218
重庆市,Chongqing,West,755,787,1.042384105960265,Medium,94471.95236602945,16623.504544030086,,31910000.0,,314,12,25,,106.0,,-0.8069295411402321
