province,province_name_english,region,baseline_IPR,lagged_projects_k3,lagged_IPR_k3,lagged_rank_k3,lagged_projects_k5,lagged_IPR_k5,lagged_rank_k5,projects_2015_2024,matched_projects_2015_2024,subsequent_inheritors_2015_2024,batch_match_share_2015_2024,linked_inheritors_per_project_2015_2024
吉林省,Jilin,Northeast,0.4864253393665158,442,0.4864253393665158,31,372,0.5779569892473119,31,142,95,100,0.6690140845070423,0.704225352112676
广东省,Guangdong,East,0.5853080568720379,760,0.65,30,760,0.65,30,343,42,42,0.12244897959183673,0.12244897959183673
辽宁省,Liaoning,Northeast,0.7482993197278912,294,0.7482993197278912,29,248,0.8870967741935484,29,104,0,0,0.0,0.0
山东省,Shandong,East,0.8436548223350254,985,0.8436548223350254,28,704,1.1803977272727273,19,458,182,212,0.39737991266375544,0.462882096069869
北京市,Beijing,East,0.9364548494983278,299,0.9364548494983278,27,250,1.12,20,54,1,1,0.018518518518518517,0.018518518518518517
陕西省,Shaanxi,West,0.8656934306569343,596,0.9949664429530202,26,596,0.9949664429530202,28,246,88,92,0.35772357723577236,0.37398373983739835
贵州省,Guizhou,West,0.6980392156862745,706,1.0084985835694051,25,706,1.0084985835694051,27,453,115,139,0.25386313465783666,0.3068432671081678
青海省,Qinghai,West,1.008849557522124,564,1.0106382978723405,24,564,1.0106382978723405,26,185,38,40,0.20540540540540542,0.21621621621621623
重庆市,Chongqing,West,1.042384105960265,755,1.042384105960265,23,755,1.042384105960265,25,361,190,223,0.5263157894736842,0.6177285318559557
河北省,Hebei,East,1.080082135523614,974,1.080082135523614,22,974,1.080082135523614,24,297,128,136,0.43097643097643096,0.45791245791245794
天津市,Tianjin,East,0.7362924281984334,258,1.0930232558139534,21,258,1.0930232558139534,23,220,37,40,0.16818181818181818,0.18181818181818182
江苏省,Jiangsu,East,0.7032590051457976,745,1.1006711409395973,20,745,1.1006711409395973,22,665,101,108,0.1518796992481203,0.162406015037594
江西省,Jiangxi,Central,1.1189591078066914,538,1.1189591078066914,19,538,1.1189591078066914,21,60,0,0,0.0,0.0
内蒙古自治区,Inner Mongolia,West,1.069879518072289,744,1.1935483870967742,18,744,1.1935483870967742,18,376,88,99,0.23404255319148937,0.2632978723404255
安徽省,Anhui,Central,1.0179948586118253,631,1.255150554675119,17,631,1.255150554675119,17,305,82,89,0.26885245901639343,0.29180327868852457
浙江省,Zhejiang,East,1.1461661341853036,1142,1.2565674255691768,16,1142,1.2565674255691768,16,232,71,78,0.30603448275862066,0.33620689655172414
黑龙江省,Heilongjiang,Northeast,0.993517017828201,487,1.2587268993839835,15,487,1.2587268993839835,15,343,144,169,0.4198250728862974,0.49271137026239065
新疆维吾尔自治区,Xinjiang,West,1.2671081677704197,453,1.2671081677704197,14,453,1.2671081677704197,14,44,21,22,0.4772727272727273,0.5
河南省,Henan,Central,1.3127147766323024,873,1.3127147766323024,13,627,1.8277511961722488,6,397,240,270,0.6045340050377834,0.6801007556675063
四川省,Sichuan,West,0.9658356417359188,752,1.3909574468085106,12,752,1.3909574468085106,13,421,52,71,0.12351543942992874,0.16864608076009502
西藏自治区,Xizang,West,1.4251626898047722,461,1.4251626898047722,11,461,1.4251626898047722,12,137,12,12,0.08759124087591241,0.08759124087591241
云南省,Yunnan,West,1.0165016501650166,625,1.4784,10,625,1.4784,11,512,112,176,0.21875,0.34375
广西壮族自治区,Guangxi,West,1.5,624,1.5,9,472,1.9830508474576272,5,431,232,260,0.5382830626450116,0.6032482598607889
甘肃省,Gansu,West,1.513184584178499,493,1.513184584178499,8,493,1.513184584178499,10,159,62,77,0.389937106918239,0.48427672955974843
湖北省,Hubei,Central,1.5183044315992291,519,1.5183044315992291,7,477,1.6519916142557651,9,118,68,86,0.576271186440678,0.7288135593220338
宁夏回族自治区,Ningxia,West,1.2475247524752475,238,1.588235294117647,6,156,2.423076923076923,1,215,76,100,0.35348837209302325,0.46511627906976744
福建省,Fujian,East,1.3122302158273382,538,1.695167286245353,5,538,1.695167286245353,8,292,76,86,0.2602739726027397,0.2945205479452055
海南省,Hainan,East,1.7241379310344829,87,1.7241379310344829,4,87,1.7241379310344829,7,10,0,0,0.0,0.0
湖南省,Hunan,Central,0.9858956276445698,351,1.9914529914529917,3,351,1.9914529914529917,4,445,44,74,0.09887640449438202,0.1662921348314607
山西省,Shanxi,Central,1.594413407821229,679,2.101620029455081,2,679,2.101620029455081,3,440,216,249,0.4909090909090909,0.5659090909090909
上海市,Shanghai,East,2.015267175572519,367,2.1580381471389645,1,330,2.4,2,63,24,29,0.38095238095238093,0.4603174603174603
