province,projects,exact_matched_projects,fuzzy_matched_projects,exact_match_rate,fuzzy_match_rate,fuzzy_minus_exact,province_name_english,region,IPR
贵州省,1020,311,311,0.30490196078431375,0.30490196078431375,0.0,Guizhou,West,0.6980392156862745
吉林省,442,144,151,0.3257918552036199,0.3416289592760181,0.01583710407239819,Jilin,Northeast,0.4864253393665158
江苏省,1166,402,418,0.34476843910806176,0.3584905660377358,0.013722126929674061,Jiangsu,East,0.7032590051457976
天津市,383,135,147,0.3524804177545692,0.3838120104438642,0.03133159268929503,Tianjin,East,0.7362924281984334
广东省,844,322,325,0.3815165876777251,0.38507109004739337,0.0035545023696682554,Guangdong,East,0.5853080568720379
青海省,565,226,226,0.4,0.4,0.0,Qinghai,West,1.008849557522124
海南省,87,34,35,0.39080459770114945,0.40229885057471265,0.011494252873563204,Hainan,East,1.7241379310344829
云南省,909,376,381,0.4136413641364136,0.41914191419141916,0.005500550055005549,Yunnan,West,1.0165016501650166
湖南省,709,303,306,0.42736248236953456,0.4315937940761636,0.004231311706629048,Hunan,Central,0.9858956276445698
宁夏回族自治区,303,126,133,0.4158415841584158,0.4389438943894389,0.023102310231023104,Ningxia,West,1.2475247524752475
福建省,695,307,310,0.441726618705036,0.4460431654676259,0.004316546762589912,Fujian,East,1.3122302158273382
四川省,1083,505,508,0.4662973222530009,0.469067405355494,0.002770083102493104,Sichuan,West,0.9658356417359188
山东省,985,491,495,0.4984771573604061,0.5025380710659898,0.004060913705583702,Shandong,East,0.8436548223350254
安徽省,778,389,392,0.5,0.5038560411311054,0.003856041131105381,Anhui,Central,1.0179948586118253
陕西省,685,327,347,0.47737226277372263,0.5065693430656935,0.029197080291970823,Shaanxi,West,0.8656934306569343
内蒙古自治区,830,407,423,0.4903614457831325,0.5096385542168674,0.019277108433734924,Inner Mongolia,West,1.069879518072289
北京市,299,153,159,0.5117056856187291,0.5317725752508361,0.02006688963210701,Beijing,East,0.9364548494983278
山西省,895,470,488,0.5251396648044693,0.5452513966480447,0.020111731843575398,Shanxi,Central,1.594413407821229
辽宁省,294,160,162,0.54421768707483,0.5510204081632653,0.006802721088435271,Liaoning,Northeast,0.7482993197278912
河北省,974,522,539,0.5359342915811088,0.553388090349076,0.017453798767967155,Hebei,East,1.080082135523614
浙江省,1252,692,697,0.5527156549520766,0.5567092651757188,0.003993610223642197,Zhejiang,East,1.1461661341853036
广西壮族自治区,624,348,356,0.5576923076923077,0.5705128205128205,0.012820512820512775,Guangxi,West,1.5
重庆市,755,438,443,0.5801324503311258,0.5867549668874172,0.0066225165562914245,Chongqing,West,1.042384105960265
上海市,393,233,233,0.5928753180661578,0.5928753180661578,0.0,Shanghai,East,2.015267175572519
黑龙江省,617,370,376,0.5996758508914101,0.6094003241491086,0.00972447325769854,Heilongjiang,Northeast,0.993517017828201
江西省,538,330,338,0.6133828996282528,0.6282527881040892,0.014869888475836479,Jiangxi,Central,1.1189591078066914
西藏自治区,461,272,294,0.5900216919739696,0.6377440347071583,0.04772234273318876,Xizang,West,1.4251626898047722
甘肃省,493,333,335,0.6754563894523327,0.6795131845841785,0.0040567951318458695,Gansu,West,1.513184584178499
河南省,873,612,619,0.7010309278350515,0.709049255441008,0.008018327605956554,Henan,Central,1.3127147766323024
湖北省,519,378,378,0.7283236994219653,0.7283236994219653,0.0,Hubei,Central,1.5183044315992291
新疆维吾尔自治区,453,354,360,0.7814569536423841,0.7947019867549668,0.013245033112582738,Xinjiang,West,1.2671081677704197
