province,province_name_english,provincial_roster_inheritors,national_attributed_to_province,overlap_exact_count,overlap_fuzzy_count,overlap_total,overlap_share,national_on_provincial_roster,national_not_on_provincial_roster
江苏省,Jiangsu,820,227,188,2,190,0.231707,190,37
山东省,Shandong,831,146,107,1,108,0.129964,108,38
浙江省,Zhejiang,1435,271,179,10,189,0.131707,189,82
广东省,Guangdong,494,190,33,0,33,0.066802,33,157
河南省,Henan,1146,158,116,6,122,0.106457,122,36
四川省,Sichuan,1046,153,75,5,80,0.076482,80,73
云南省,Yunnan,924,160,92,2,94,0.101732,94,66
安徽省,Anhui,792,143,88,1,89,0.112374,89,54
河北省,Hebei,1052,188,117,12,129,0.122624,129,59
江西省,Jiangxi,602,93,82,1,83,0.137874,83,10
山西省,Shanxi,1427,198,155,12,167,0.117029,167,31
陕西省,Shaanxi,593,101,52,3,55,0.092749,55,46
福建省,Fujian,912,187,175,1,176,0.192982,176,11
湖北省,Hubei,788,141,111,2,113,0.143401,113,28
新疆维吾尔自治区,Xinjiang,574,134,62,3,65,0.11324,64,70
甘肃省,Gansu,746,84,53,2,55,0.073727,55,29
广西壮族自治区,Guangxi,936,66,51,1,52,0.055556,52,14
湖南省,Hunan,699,153,74,4,78,0.111588,78,75
吉林省,Jilin,215,32,6,0,6,0.027907,6,26
西藏自治区,Xizang,657,117,39,12,51,0.077626,49,68
贵州省,Guizhou,712,135,203,3,206,0.289326,134,1
海南省,Hainan,150,32,18,5,23,0.153333,23,9
黑龙江省,Heilongjiang,613,35,20,3,23,0.03752,23,12
辽宁省,Liaoning,220,75,14,0,14,0.063636,14,61
北京市,Beijing,280,139,95,7,102,0.364286,102,37
内蒙古自治区,Inner Mongolia,888,110,84,5,89,0.100225,73,37
宁夏回族自治区,Ningxia,378,30,16,0,16,0.042328,16,14
青海省,Qinghai,570,104,95,2,97,0.170175,75,29
上海市,Shanghai,792,147,110,4,114,0.143939,114,33
天津市,Tianjin,282,58,37,2,39,0.138298,39,19
重庆市,Chongqing,787,74,28,2,30,0.038119,30,44
