province,province_name_english,region,project_count,inheritor_count,roster_IPR,roster_below_parity,national_attributed_to_province,national_on_provincial_roster,national_not_on_roster_fuzzy_overlap,augmented_inheritors_fuzzy_overlap,augmented_IPR_fuzzy_overlap,augmented_below_parity_fuzzy_overlap,national_on_exact_roster,national_not_on_roster_exact_only,augmented_inheritors_exact_only,augmented_IPR_exact_only,augmented_below_parity_exact_only
吉林省,Jilin,Northeast,442,215,0.4864253393665158,1,32,6,26,241,0.5452488687782805,1,6,26,241,0.5452488687782805,1
贵州省,Guizhou,West,1020,712,0.6980392156862745,1,135,134,1,713,0.6990196078431372,1,132,3,715,0.7009803921568627,1
江苏省,Jiangsu,East,1166,820,0.7032590051457976,1,227,190,37,857,0.7349914236706689,1,188,39,859,0.7367066895368782,1
广东省,Guangdong,East,844,494,0.5853080568720379,1,190,33,157,651,0.7713270142180095,1,33,157,651,0.7713270142180095,1
天津市,Tianjin,East,383,282,0.7362924281984334,1,58,39,19,301,0.7859007832898173,1,37,21,303,0.7911227154046997,1
山东省,Shandong,East,985,831,0.8436548223350254,1,146,108,38,869,0.8822335025380711,1,107,39,870,0.883248730964467,1
陕西省,Shaanxi,West,685,593,0.8656934306569343,1,101,55,46,639,0.9328467153284672,1,52,49,642,0.9372262773722628,1
辽宁省,Liaoning,Northeast,294,220,0.7482993197278912,1,75,14,61,281,0.95578231292517,1,14,61,281,0.95578231292517,1
黑龙江省,Heilongjiang,Northeast,617,613,0.993517017828201,1,35,23,12,625,1.012965964343598,0,20,15,628,1.0178282009724473,0
四川省,Sichuan,West,1083,1046,0.9658356417359188,1,153,80,73,1119,1.0332409972299168,0,75,78,1124,1.0378578024007388,0
青海省,Qinghai,West,565,570,1.008849557522124,0,104,75,29,599,1.0601769911504424,0,73,31,601,1.063716814159292,0
北京市,Beijing,East,299,280,0.9364548494983278,1,139,102,37,317,1.060200668896321,0,95,44,324,1.0836120401337792,0
安徽省,Anhui,Central,778,792,1.0179948586118253,0,143,89,54,846,1.0874035989717223,0,88,55,847,1.088688946015424,0
云南省,Yunnan,West,909,924,1.0165016501650166,0,160,94,66,990,1.0891089108910892,0,92,68,992,1.0913091309130913,0
湖南省,Hunan,Central,709,699,0.9858956276445698,1,153,78,75,774,1.0916784203102963,0,74,79,778,1.0973201692524683,0
重庆市,Chongqing,West,755,787,1.042384105960265,0,74,30,44,831,1.100662251655629,0,28,46,833,1.1033112582781457,0
内蒙古自治区,Inner Mongolia,West,830,888,1.069879518072289,0,110,73,37,925,1.1144578313253013,0,69,41,929,1.119277108433735,0
江西省,Jiangxi,Central,538,602,1.1189591078066914,0,93,83,10,612,1.137546468401487,0,82,11,613,1.1394052044609666,0
河北省,Hebei,East,974,1052,1.080082135523614,0,188,129,59,1111,1.1406570841889117,0,117,71,1123,1.1529774127310062,0
浙江省,Zhejiang,East,1252,1435,1.1461661341853036,0,271,189,82,1517,1.211661341853035,0,179,92,1527,1.2196485623003195,0
宁夏回族自治区,Ningxia,West,303,378,1.2475247524752475,0,30,16,14,392,1.2937293729372936,0,16,14,392,1.2937293729372936,0
福建省,Fujian,East,695,912,1.3122302158273382,0,187,176,11,923,1.3280575539568344,0,175,12,924,1.3294964028776979,0
河南省,Henan,Central,873,1146,1.3127147766323024,0,158,122,36,1182,1.3539518900343643,0,116,42,1188,1.3608247422680413,0
新疆维吾尔自治区,Xinjiang,West,453,574,1.2671081677704197,0,134,64,70,644,1.4216335540838851,0,61,73,647,1.4282560706401766,0
广西壮族自治区,Guangxi,West,624,936,1.5,0,66,52,14,950,1.5224358974358974,0,51,15,951,1.5240384615384615,0
甘肃省,Gansu,West,493,746,1.513184584178499,0,84,55,29,775,1.5720081135902637,0,53,31,777,1.5760649087221095,0
湖北省,Hubei,Central,519,788,1.5183044315992291,0,141,113,28,816,1.5722543352601157,0,111,30,818,1.5761078998073217,0
西藏自治区,Xizang,West,461,657,1.4251626898047722,0,117,49,68,725,1.5726681127982647,0,37,80,737,1.5986984815618221,0
山西省,Shanxi,Central,895,1427,1.594413407821229,0,198,167,31,1458,1.6290502793296089,0,155,43,1470,1.6424581005586592,0
海南省,Hainan,East,87,150,1.7241379310344829,0,32,23,9,159,1.8275862068965518,0,18,14,164,1.8850574712643677,0
上海市,Shanghai,East,393,792,2.015267175572519,0,147,114,33,825,2.099236641221374,0,110,37,829,2.10941475826972,0
